结算时间,订单号,子订单号,结算金额,结算账户,结算单类型,有结算前退款,下单时间,商品ID,商品名称,商品数量,达人ID,达人名称,业务类型,订单类型,订单总价,商品总价,运费,店铺券,政府补贴商家垫资,结算前退款金额,平台补贴,其他平台补贴,政府补贴平台垫资,达人补贴,抖音支付补贴,抖音月付营销补贴,银行补贴,以旧换新抵扣,平台补贴运费,用户实付,收入合计,平台服务费,达人佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,其他分成说明,支出合计,是否免佣,免佣金额,商户主体名称,备注
" "," "," ",收入+支出," "," "," "," "," "," "," "," "," "," "," ",商品总价+运费," "," ",包括商家发的优惠券、商品直降金额以及与平台混资补贴商家承担的金额,以旧换新商家先行出资，结算后商家拿着对应金额发票与政府进行金额结算。,退给用户的货款+运费+退补贴," ",其他平台补贴包括话费充值平台优惠金额，此部分补贴金额商家无需给平台开票,以旧换新政府出资补商家，跟随货款一同结算给商家，包括以旧换新政府补贴券，商家无需开票。," "," "," "," "," "," "," ",用户实付+平台补贴+达人补贴+抖音支付补贴+抖音月付补贴+银行补贴+以旧换新抵扣+平台补贴运费+政府补贴平台垫资+其他平台补贴,"'-(用户实付+平台补贴+达人补贴+平台补贴运费+政府补贴平台垫资+其他平台补贴)*费率
平台按照商品类目费率收取商家的费用","'-(用户实付-运费+平台补贴+达人补贴+平台补贴运费+抖音支付补贴+抖音月付补贴+政府补贴平台垫资+其他平台补贴)*费率
商家支出给达人的佣金",商家使用了服务商服务（例如商家招募与培训、内容制作、抖店开设与运营、达人运营等一站式服务），需要支付给对应服务商的佣金,仅在学浪订单场景下存在的分成，如果订单非学浪订单则不会有这个费用,商家支出给团长的佣金,推广者在抖音APP外进行商品推广，用户因推广者推广进入抖音APP进入小店平台并完成商品购买。商家商品通过精选联盟平台的推广者成交的，每笔订单商家需要向推广者支付一定比例的推广费,除“佣金、渠道分成、招商服务费、站外推广费”等账单中已分列展示之外的分成项目," ",平台服务费+达人佣金+服务商佣金+渠道分成+招商服务费+站外推广费+其他分成,订单是否命中了平台各类平台服务费减免活动，例如商品卡佣金减免等活动,订单结算时按照平台活动规则减免掉的金额，免佣金额不会结算或打款给商家," "," "
2026-03-10 08:34:38,'6950905834484208889,'6950905834484208889,9.49,聚合账户,已结算,否,2026-02-27 07:30:27,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,9.98,0,0,0,0,0,0,0,0,0.01,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-10 08:35:00,'6924518394915618483,'6924518394915618483,9.49,聚合账户,已结算,否,2026-02-27 07:02:25,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-10 08:35:37,'6950921235000596312,'6950921235000596312,9.49,聚合账户,已结算,否,2026-02-27 06:45:16,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-10 08:35:50,'6924523109707710422,'6924523109707710422,9.49,聚合账户,已结算,否,2026-02-27 08:11:19,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,0.49,0,0,0,0,0,0,0,0,9.5,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-10 08:36:10,'6924527460678467516,'6924527460678467516,9.49,聚合账户,已结算,否,2026-02-27 07:34:36,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-10 08:36:41,'6924532163675848431,'6924532163675848431,37.98,聚合账户,已结算,否,2026-02-27 09:15:01,'3805378828843483239,2026新款冲电黄小鸭泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,2,,,小店自卖,普通订单,39.98,39.98,0,0,0,0,0,0,0,0,0,0,0,0,0,39.98,39.98,-2,0,0,0,0,0,0,,-2,否,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-10 08:36:41,'6924532108218498799,'6924532108218498799,37.98,聚合账户,已结算,否,2026-02-27 09:15:33,'3805378828843483239,2026新款冲电黄小鸭泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,2,,,小店自卖,普通订单,39.98,39.98,0,0,0,0,0,0,0,0,0,0,0,0,0,39.98,39.98,-2,0,0,0,0,0,0,,-2,否,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-10 08:36:41,'6950932610572555516,'6950932610572555516,9.49,聚合账户,已结算,否,2026-02-27 07:42:01,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-10 08:36:41,'6950923918490670397,'6950923918490670397,9.49,聚合账户,已结算,否,2026-02-27 07:54:00,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-10 08:36:41,'6924520751022899152,'6924520751022899152,9.49,聚合账户,已结算,否,2026-02-27 07:59:49,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
