主订单编号,支付方式,选购商品,商品ID,商品数量,商品金额,订单提交时间,支付完成时间,订单状态,取消原因,售后状态,订单类型,订单应付金额,优惠总金额,平台优惠,商家优惠
"	6925431041435663913","	微信",网红新款2026泡泡机摆摊吹泡泡玩具电动手持泡泡机不漏液不挂泡-升级【拉管粉兔】送10包浓缩液+送电池,"	3808934651494531397",1,14.99,"	2026-04-07 17:48:41","	2026-04-07 17:48:53",已完成,,-,普通订单,14.99,0.00,-,-
"	6951851994784929427","	抖音支付",七彩吹泡泡系列专用补充液泡泡浓缩液 便携袋装泡泡水泡泡液安全-10包浓缩液【袋子颜色随机】,"	3795785626331251287",1,3.99,"	2026-04-07 08:22:39","	2026-04-07 08:22:41",已关闭,,七彩吹泡泡系列专用补充液泡泡浓缩液 便携袋装泡泡水泡泡液安全-退款成功,普通订单,3.42,0.57,平台抽红包惊喜券-0.57,-
"	6951868632859677891","	抖音支付",电动牵绳大号翅马声光跳萌宠益智早教启蒙科学实验自备3节5号电池-大红马1只（电池自备）有翅,"	3795778810285261091",1,16.99,"	2026-04-06 11:55:33","	2026-04-06 11:55:38",已完成,,电动牵绳大号翅马声光跳萌宠益智早教启蒙科学实验自备3节5号电池-退款成功,普通订单,16.99,0.00,-,-
"	6951826068880365312","	微信",电动牵绳小马声光跳萌宠益智早教启蒙【自备2节5号电池-梅红粉马1只（电池自备）,"	3795778331362853204",1,13.99,"	2026-04-05 17:56:02","	2026-04-05 17:56:15",已关闭,,电动牵绳小马声光跳萌宠益智早教启蒙【自备2节5号电池-退款成功,普通订单,13.99,0.00,-,-
"	6925356295673249511","	抖音月付",电动牵绳小马声光跳萌宠益智早教启蒙【自备2节5号电池-梅红粉马1只（电池自备）,"	3795778331362853204",1,13.99,"	2026-04-04 21:56:08","	2026-04-04 21:56:13",已完成,,-,普通订单,13.99,0.00,-,-
"	6925352365194116839","	抖音支付",电动牵绳小马声光跳萌宠益智早教启蒙【自备2节5号电池-小黑马1只（电池自备）,"	3795778331362853204",1,13.99,"	2026-04-04 21:55:39","	2026-04-04 21:55:46",已完成,,-,普通订单,13.99,0.00,-,-
"	6951778712098116841","	抖音月付",电动牵绳小马声光跳萌宠益智早教启蒙【自备2节5号电池-小黑马1只（电池自备）,"	3795778331362853204",5,13.99,"	2026-04-03 22:43:16","	2026-04-03 22:43:19",已完成,,-,普通订单,69.95,0.00,-,-
"	6925341029635554350","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液】,"	3810938281739289513",1,14.99,"	2026-04-03 21:19:23","	2026-04-03 21:19:30",已关闭,,萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-退款成功,普通订单,14.99,0.00,-,-
"	6925333818940357752","	微信",电动牵绳小马声光跳萌宠益智早教启蒙【自备2节5号电池-小白马1只（电池自备）,"	3795778331362853204",1,13.99,"	2026-04-03 10:37:12","	2026-04-03 10:37:25",已完成,,-,普通订单,13.99,0.00,-,-
"	6951743364259058767","	微信",电动牵绳小马声光跳萌宠益智早教启蒙【自备2节5号电池-梅红粉马1只（电池自备）,"	3795778331362853204",1,13.99,"	2026-04-02 13:04:13","	2026-04-02 13:06:48",已完成,,-,普通订单,13.99,0.00,-,-
"	6951747654002742573","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3810938281739289513",1,17.99,"	2026-04-02 09:47:03","	2026-04-02 09:47:13",已完成,,-,普通订单,14.99,3.00,平台省钱神卡券-3.00,-
"	6951735202683163963","	微信",电动牵绳小马声光跳萌宠益智早教启蒙【自备2节5号电池-小白马1只（电池自备）,"	3795778331362853204",1,13.99,"	2026-04-01 12:28:52","	2026-04-01 12:29:01",已完成,,-,普通订单,13.99,0.00,-,-
"	6951743840431577042","	抖音月付",新款吹泡泡乒乓泡泡专用泡泡液-乒乓球拍泡泡专用泡泡液【3瓶】,"	3810392835874750497",1,5.99,"	2026-04-01 09:58:10","	2026-04-01 09:58:15",已完成,,-,普通订单,5.99,0.00,-,-
